protocol,flow_duration,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label
17,114000894.3080902,12.552533106737632,0.0,1431,0,2166534,0,1514.0,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,1514,1514,1514.0,0.0,0.0,11448,0,8,1431,79720.9051105526,565604.9251556396,232.696533203125,76167.43793403645,114000894.3080902,565604.9251556396,232.696533203125,79720.9051105526,76167.43793403645,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,1514.0,0,0,549627.0656585693,173.5687255859375,117261.14363001104,87464.43088791266,480666.6374206543,5009.889602661133,80051.36260359098,73396.26066874195,2106432.0,1431.0,0.0,0.0,18477.328733117796,0.0,1514.0,0.0,0,1431,0,2166534,0,2
17,114010631.5612793,12.884763288153795,0.0,1469,0,2224066,0,1514.0,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,1514,1514,1514.0,0.0,0.0,11752,0,8,1469,77663.91795727472,527624.6070861816,210.04676818847656,74747.6620272022,114010631.5612793,527624.6070861816,210.04676818847656,77663.91795727472,74747.6620272022,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,1514.0,0,0,482069.4923400879,92.7448272705078,110920.32669993585,85493.30390298682,408967.2565460205,5223.989486694336,78117.94004578522,67961.51254054128,2162368.0,1469.0,0.0,0.0,18966.371560162388,0.0,1514.0,0.0,0,1469,0,2224066,0,2
17,113931164.50309752,13.060517782731385,0.0,1488,0,2252832,0,1514.0,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,1514,1514,1514.0,0.0,0.0,11904,0,8,1488,76618.1334923319,547089.3383026123,191.21170043945312,73223.4776916453,113931164.50309752,547089.3383026123,191.21170043945312,76618.1334923319,73223.47769164531,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,1514.0,0,0,537248.8498687744,82.25440979003906,107724.32302071796,85245.123921232,481392.86041259766,5009.41276550293,74249.32601405126,71340.26854122104,2190336.0,1488.0,0.0,0.0,19225.0821761806,0.0,1514.0,0.0,0,1488,0,2252832,0,2
17,114017455.10101318,12.97169805000197,0.0,1479,0,2239206,0,1514.0,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,1514,1514,1514.0,0.0,0.0,11832,0,8,1479,77143.06840393314,583709.4783782959,196.69532775878903,76157.52618599469,114017455.10101318,583709.4783782959,196.69532775878903,77143.06840393314,76157.52618599468,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,1514.0,0,0,554239.03465271,122.30873107910156,115021.74016695388,84848.52627358596,569845.6764221191,5411.148071289063,83302.98163170039,78228.5687983184,2177088.0,1479.0,0.0,0.0,19094.3395296029,0.0,1514.0,0.0,0,1479,0,2239206,0,2
17,114017141.34216309,12.533203193646123,0.0,1429,0,2163506,0,1514.0,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,1514,1514,1514.0,0.0,0.0,11432,0,8,1429,79843.9365141198,620848.4172821045,207.42416381835935,80678.16110448634,114017141.34216309,620848.4172821045,207.42416381835935,79843.9365141198,80678.16110448634,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,1514.0,0,0,591084.7187042236,288.7248992919922,120048.87449767796,97941.62669412984,569595.0984954834,5165.815353393555,81988.0173645711,82167.95660409359,2103488.0,1429.0,0.0,0.0,18448.87510104709,0.0,1514.0,0.0,0,1429,0,2163506,0,2
17,113840482.711792,12.666847202771327,0.0,1442,0,2183188,0,1514.0,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,1514,1514,1514.0,0.0,0.0,11536,0,8,1442,79001.02894642054,604114.294052124,207.1857452392578,76900.79741301757,113840482.711792,604114.294052124,207.1857452392578,79001.02894642054,76900.79741301757,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,1514.0,0,0,596865.4155731201,9.059906005859377,118721.9283519647,90663.16384252434,556100.1300811768,5146.980285644531,83318.55387609279,76208.79982131653,2122624.0,1442.0,0.0,0.0,18645.59908247939,0.0,1514.0,0.0,0,1442,0,2183188,0,2
17,113917167.66357422,12.6758769517909,0.0,1444,0,2186216,0,1514.0,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,1514,1514,1514.0,0.0,0.0,11552,0,8,1444,78944.67613553307,584952.1160125732,202.65579223632807,79945.19397818361,113917167.66357422,584952.1160125732,202.65579223632807,78944.67613553307,79945.1939781836,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,1514.0,0,0,582820.4154968262,126.36184692382812,118400.2015158094,96623.21708827835,575731.9927215576,5067.110061645508,84090.18252424138,84738.55742803511,2125568.0,1444.0,0.0,0.0,18658.890873036205,0.0,1514.0,0.0,0,1444,0,2186216,0,2
17,114011800.05073547,12.67412670755985,0.0,1445,0,2187730,0,1514.0,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,1514,1514,1514.0,0.0,0.0,11560,0,8,1445,78955.54020134035,602673.5305786133,203.6094665527344,77347.42823082143,114011800.05073547,602673.5305786133,203.6094665527344,78955.54020134035,77347.42823082145,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,1514.0,0,0,588492.8703308105,631.5708160400391,116431.427400147,90569.07826235564,526031.0173034668,5168.437957763672,81368.84255589967,77587.98584959953,2127040.0,1445.0,0.0,0.0,18656.3145135281,0.0,1514.0,0.0,0,1445,0,2187730,0,2
17,113616081.23779295,12.304596187172251,0.0,1398,0,2116572,0,1514.0,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,1514,1514,1514.0,0.0,0.0,11184,0,8,1398,81328.6193541825,459638.3571624756,200.9868621826172,74891.51464259294,113616081.23779295,459638.3571624756,200.9868621826172,81328.6193541825,74891.51464259294,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,1514.0,0,0,442175.6267547608,418.9014434814453,112598.2795516736,85183.25649899791,422373.0564117432,5102.872848510742,80782.76222537023,74332.85255556334,2057856.0,1398.0,0.0,0.0,18112.365587517557,0.0,1514.0,0.0,0,1398,0,2116572,0,2
17,113608092.06962584,12.84239505673449,0.0,1459,0,2208926,0,1514.0,1514.0,1514.0,0.0,0.0,0.0,0.0,0.0,1514,1514,1514.0,0.0,0.0,11672,0,8,1459,77920.50210536753,766593.6946868896,200.7484436035156,76774.51245483682,113608092.06962584,766593.6946868896,200.7484436035156,77920.50210536753,76774.51245483682,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0.0,1514.0,0,0,745692.0146942139,8.58306884765625,115141.63118297773,93079.4875053859,536442.9950714111,5161.762237548828,78632.39056802209,76005.46537141032,2147648.0,1459.0,0.0,0.0,18904.00552351317,0.0,1514.0,0.0,0,1459,0,2208926,0,2
